ColumnType,Column_ID,FailOrPass,Name,Area,% Area,Height,Width,USP Resolution,Asym @ 10,Asym,USP Tailing,USP Plate Count,Width @ Baseline,Width @ Tangent (USP Resolution),Width @ 5%,Width @ 50%
BEH Phenyl C18_50min,AD0229,1,30T,240845,19.88,12531,78.2,10.234067,1.310085,93484.81858,1.177496,85558.66891,1.303333,0.541544,0.608604,0.298929
BEH Phenyl C18_50min,AD0229,1,35T,240795,19.88,12636,66.6,7.941541,1.29978,115970.3813,1.169448,105608.8652,1.11,0.540309,0.607309,0.296874
BEH Phenyl C18_50min,AD0170,1,15T,372111,21.06,18855,154.2,,0.437472,13949.40741,0.676944,26272.08524,2.57,0.417935,0.984596,0.239541
BEH Phenyl C18_50min,AD0170,1,20T,358738,20.3,18596,128,16.376004,0.491168,33010.70996,0.690898,31990.26698,2.133333,0.557333,0.951501,0.236636
BEH Phenyl C18_50min,AD0170,1,25T,342444,19.38,19007,95.4,10.780417,0.563979,60391.49852,0.708144,52545.75755,1.59,0.537879,0.887801,0.226236
BEH Phenyl C18_50min,AD0170,1,30T,346348,19.6,20733,73.8,8.403665,0.624838,91725.026,,73763.51555,1.23,0.519405,,0.216804
BEH Phenyl C18_50min,AD0170,1,35T,347451,19.66,21915,121.6,6.890909,0.640076,118873.9984,,94239.97832,2.026667,0.505539,,0.210651
BEH Phenyl C18_50min,AD0229,1,15T,253828,21.17,12703,111.8,,1.396601,17955.42407,1.180862,20301.98336,1.863333,0.510758,0.628613,0.312824
BEH Phenyl C18_50min,AD0229,1,20T,242652,20.23,11752,113.2,17.624922,1.391743,38419.67204,1.201771,43370.30969,1.886667,0.52472,0.643641,0.322356
BEH Phenyl C18_50min,AD0229,1,25T,229393,19.13,11586,89.2,13.469785,1.347999,66159.77632,1.191508,73439.10279,1.486667,0.505667,0.617473,0.310484
BEH Phenyl C18_50min,AD0229,1,30T,236459,19.72,12122,73,10.112825,1.331849,90560.16373,1.193919,83745.04632,1.216667,0.547111,0.612147,0.305431
BEH Phenyl C18_50min,AD0229,1,35T,236876,19.75,12302,62.8,8.248571,1.318341,113611.5467,1.185435,127938.0796,1.046667,0.491436,0.608004,0.301159
BEH Phenyl C18_50min,AD0170,1,15T,415788,21.44,21192,147.4,,0.462701,13829.85543,0.688149,25876.10141,2.456667,0.417896,0.970938,0.239442
BEH Phenyl C18_50min,AD0170,1,20T,396459,20.44,21087,111.2,18.256052,0.527396,33497.65385,0.7102,56740.95918,1.853333,0.442693,0.911082,0.233512
BEH Phenyl C18_50min,AD0170,1,25T,371224,19.14,20865,92,13.71348,0.618633,61545.0308,0.731999,92376.19265,1.533333,0.428067,0.840221,0.227897
BEH Phenyl C18_50min,AD0170,1,30T,379336,19.56,22748,75.8,10.75071,0.672269,91113.27135,0.734415,132531.0401,1.263333,0.408223,0.820549,0.218636
BEH Phenyl C18_50min,AD0170,1,35T,376545,19.42,23975,95,7.811769,0.701608,120661.7941,,93588.43364,1.583333,0.505984,,0.212072
Acquity Oligo BEH C18_100,AD0275,1,15T,36621,21.13,4346,58,,1.565238,53040.82775,1.38533,102886.8452,0.966667,0.207095,0.347871,0.112718
Acquity Oligo BEH C18_100,AD0275,1,20T,34940,20.16,3733,68,17.005284,1.899674,57232.78238,1.579537,134321.2196,1.133333,0.225682,0.39337,0.120713
Acquity Oligo BEH C18_100,AD0275,1,25T,32991,19.03,3172,76.4,11.832869,2.235389,51546.67662,1.825597,153662.8895,1.273333,0.226547,0.459885,0.130599
Acquity Oligo BEH C18_100,AD0275,1,30T,34319,19.8,2964,86.8,8.374263,2.326339,50112.80735,1.875191,150969.436,1.446667,0.268955,0.519394,0.13947
Acquity Oligo BEH C18_100,AD0275,1,35T,34450,19.88,2815,82.2,6.081007,2.495283,45746.74802,1.887879,162236.0867,1.37,0.284225,0.567819,0.144679
Acquity Oligo BEH C18_100,AD0275,1,15T,37037,21.62,4376,56,,1.611025,51852.88653,1.420754,104596.3963,0.933333,0.195826,0.349232,0.112113
Acquity Oligo BEH C18_100,AD0275,1,20T,34864,20.35,3723,67,18.078434,1.949544,56087.08256,1.64783,137500.1702,1.116667,0.210407,0.399422,0.120669
Acquity Oligo BEH C18_100,AD0275,1,25T,32683,19.08,3150,76.8,12.258793,2.222342,51150.82381,1.819412,152934.8844,1.28,0.226925,0.455329,0.130381
Acquity Oligo BEH C18_100,AD0275,1,30T,33397,19.49,2974,82.6,8.86654,2.27347,53397.55665,1.818109,161255.0562,1.376667,0.241687,0.494155,0.138252
Acquity Oligo BEH C18_100,AD0275,1,35T,33342,19.46,2801,79.6,6.863666,2.370989,50752.57827,1.841887,174261.3601,1.326667,0.248616,0.544193,0.143823
Acquity Oligo BEH C18_100,AD0255,0,15T,202733,21.72,6887,129,,0.998225,6299.932854,0.907957,12946.38438,2.15,0.627934,1.326893,0.386371
Acquity Oligo BEH C18_100,AD0255,0,20T,193186,20.69,6991,110.8,5.576629,1.017558,8891.031075,0.996107,19975.96305,1.846667,0.602623,1.250819,0.368296
Acquity Oligo BEH C18_100,AD0255,0,25T,185433,19.86,6997,124.4,4.17936,1.112751,11826.67439,1.068809,26843.45862,2.073333,0.580197,1.124202,0.353902
Acquity Oligo BEH C18_100,AD0255,0,30T,174619,18.71,7051,97.4,3.317474,1.23751,16140.42997,1.100424,33526.16423,1.623333,0.560497,0.998849,0.344608
Acquity Oligo BEH C18_100,AD0255,0,35T,177551,19.02,7162,123.4,2.679551,1.540071,15662.03776,1.354145,41158.31555,2.056667,0.55731,1.083163,0.336515
Acquity Oligo BEH C18_100,AD0255,0,15T,206056,23.09,6860,147.4,,1.045791,6007.310394,0.938695,12824.15093,2.456667,0.631413,1.365932,0.388518
Acquity Oligo BEH C18_100,AD0255,0,20T,190208,21.32,6731,134.8,5.491927,1.19212,8334.071911,1.068267,19547.62639,2.246667,0.608861,1.268968,0.374373
Acquity Oligo BEH C18_100,AD0255,0,25T,169512,19,6409,117.4,4.104181,1.360521,11813.92516,1.146884,26217.96562,1.956667,0.586322,1.101298,0.363427
Acquity Oligo BEH C18_100,AD0255,0,30T,161322,18.08,6535,90.6,3.294073,1.418057,16186.10239,1.18111,33450.66266,1.51,0.560385,0.972222,0.349821
Acquity Oligo BEH C18_100,AD0255,0,35T,165166,18.51,6693,129.6,2.668347,1.667842,15453.34178,1.431203,42071.91084,2.16,0.554819,1.067306,0.33861
Acquity Oligo BEH C18_100,AD0203,1,15T,141308,27.47,21435,43.8,,1.627202,145385.1061,1.449228,217645.5149,0.73,0.16279,0.235942,0.093935
Acquity Oligo BEH C18_100,AD0203,1,20T,110632,21.5,16309,43.8,20.552499,1.798139,172007.1883,1.553161,285314.744,0.73,0.167606,0.248882,0.09692
Acquity Oligo BEH C18_100,AD0203,1,25T,94404,18.35,12730,51,14.121892,1.975597,166762.5661,1.717431,313595.5814,0.85,0.177264,0.283127,0.102508
Acquity Oligo BEH C18_100,AD0203,1,30T,87346,16.98,11709,41.8,10.407366,1.945241,190438.6445,1.674165,348609.7659,0.696667,0.180748,0.281784,0.10462
Acquity Oligo BEH C18_100,AD0203,1,35T,80798,15.7,10525,43,7.984156,2.029145,181297.514,1.784307,366858.6831,0.716667,0.18586,0.311193,0.108443
Acquity Oligo BEH C18_100,AD0203,0,15T,91957,40.07,12820,52.2,,2.466675,86557.81108,2.09599,221290.2969,0.87,0.161514,0.290525,0.093517
Acquity Oligo BEH C18_100,AD0203,0,20T,50897,22.18,5872,67.8,19.811163,3.034886,65895.19325,2.531627,243824.6063,1.13,0.181384,0.383758,0.104856
Acquity Oligo BEH C18_100,AD0203,0,25T,31553,13.75,3512,63.2,13.252941,3.039493,73074.01867,2.558314,284648.0258,1.053333,0.186133,0.407345,0.107724
